season,episode,character,lines,words
1,01,Michael,97,1922
1,01,Jim,37,382
1,01,Pam,46,301
1,01,Dwight,33,401
1,01,Jan,12,139
1,01,Michel,1,1
1,01,Phyllis,2,7
1,01,Stanley,5,33
1,01,Oscar,6,115
1,01,Angela,5,97
1,01,Kevin,2,27
1,01,Ryan,10,62
1,01,Man,1,5
1,01,Roy,5,32
1,02,Michael,90,2147
1,02,Jim,33,370
1,02,Dwight,40,360
1,02,Pam,26,156
1,02,Oscar,3,6
1,02,Kevin,7,67
1,02,Toby,2,16
1,02,Stanley,5,23
1,02,Ryan,7,85
1,02,Angela,4,4
1,02,Kelly,1,6
1,03,Michael,69,1531
1,03,Pam,44,270
1,03,Jan,18,142
1,03,Jim,57,495
1,03,Dwight,88,1092
1,03,Stanley,6,43
1,03,Oscar,16,86
1,03,Kevin,6,34
1,03,Angela,5,26
1,03,Meredith,3,35
1,03,Ryan,1,11
1,04,Dwight,74,714
1,04,Michael,111,2122
1,04,Stanley,2,9
1,04,Pam,37,286
1,04,Phyllis,5,41
1,04,Angela,9,50
1,04,Jim,63,743
1,04,Kevin,3,6
1,04,Toby,7,34
1,04,Oscar,20,126
1,04,Ryan,5,13
1,04,Everybody,6,22
1,04,Meredith,15,114
1,04,Roy,3,28
1,05,Michael,132,2143
1,05,Dwight,44,300
1,05,Jim,27,243
1,05,Phyllis,4,27
1,05,Pam,17,183
1,05,Ryan,8,34
1,05,Lonny,5,37
1,05,Darryl,17,110
1,05,Everybody,2,2
1,05,Stanley,6,22
1,05,Oscar,2,16
1,05,Kevin,4,21
1,05,Angela,6,40
1,05,Roy,13,73
1,05,Teammates,1,1
1,05,Madge,3,13
1,05,Worker,5,26
1,05,Packer,1,2
1,06,Jan,8,71
1,06,Michael,128,1855
1,06,Dwight,44,519
1,06,Pam,49,224
1,06,Katy,73,380
1,06,Kevin,7,38
1,06,Ryan,21,110
1,06,Oscar,1,4
1,06,Toby,14,41
1,06,Roy,14,90
1,06,Jim,66,607
1,06,Stanley,3,22
1,06,Angela,3,18
1,06,Kelly,2,10
2,01,Michael,138,2079
2,01,Jim,42,305
2,01,Pam,48,365
2,01,Dwight,74,703
2,01,Stanley,8,86
2,01,Oscar,4,71
2,01,Kelly,9,72
2,01,Phyllis,23,114
2,01,Jan,9,103
2,01,Roy,7,43
2,01,Kevin,4,37
2,01,Darryl,1,6
2,01,Ryan,2,27
2,01,Angela,4,53
2,01,Everybody,1,2
2,01,Employee,1,16
2,01,Toby,6,62
2,01,Waitress,3,14
2,01,Manager,10,54
2,02,Michael,111,1759
2,02,Jim,22,210
2,02,Dwight,12,109
2,02,Ryan,1,6
2,02,Pam,41,309
2,02,Toby,26,252
2,02,Darryl,5,64
2,02,Roy,10,63
2,02,Kevin,9,37
2,02,Angela,4,33
2,02,Stanley,1,17
2,02,Meredith,1,5
2,02,Phyllis,6,37
2,02,Video,1,0
2,02,Jan,11,95
2,02,Albiny,2,24
2,02,Oscar,1,3
2,03,Michael,120,1536
2,03,Ryan,5,90
2,03,Dwight,87,801
2,03,Jim,72,579
2,03,Pam,45,266
2,03,Kevin,13,47
2,03,Oscar,13,92
2,03,Angela,8,73
2,03,Carol,18,116
2,03,Bill,2,17
2,03,Stanley,3,27
2,03,Phyllis,4,14
2,03,Meredith,1,1
2,03,Everyone,1,1
2,03,Crowd,1,3
2,03,Man,6,21
2,03,Toby,4,41
2,04,Pam,28,229
2,04,Jim,64,576
2,04,Michael,70,1079
2,04,Ryan,49,291
2,04,Dwight,70,738
2,04,Oscar,4,17
2,04,Angela,18,91
2,04,Phyllis,6,21
2,04,Kelly,4,13
2,04,Stanley,7,59
2,04,Meredith,4,28
2,04,Kevin,9,58
2,04,song,1,8
2,04,Song,6,10
2,04,Roy,6,58
2,04,Katy,11,49
2,04,Toby,2,36
2,05,Michael,150,1855
2,05,Pam,27,196
2,05,Sherri,11,58
2,05,Dwight,36,489
2,05,Jim,31,419
2,05,Phyllis,5,10
2,05,Oscar,7,14
2,05,Angela,14,76
2,05,Kevin,2,3
2,05,Kelly,3,30
2,05,Stanley,5,27
2,05,Ryan,1,11
2,05,Creed,27,237
2,05,Devon,8,82
2,05,Children,1,3
2,05,Kid,3,10
2,05,Toby,7,58
2,05,Jan,10,69
2,06,Dwight,68,601
2,06,Jim,49,414
2,06,Stanley,9,53
2,06,Pam,27,267
2,06,Michael,94,1274
2,06,Ryan,18,62
2,06,Kevin,4,10
2,06,Toby,3,21
2,06,Angela,6,38
2,06,Kelly,4,15
2,06,Ira,9,59
2,06,Master,9,60
