show,season,episode,characters_lines,characters_words
The Office,1,01,"{'Michael': 97, 'Jim': 37, 'Pam': 46, 'Dwight': 33, 'Jan': 12, 'Michel': 1, 'Phyllis': 2, 'Stanley': 5, 'Oscar': 6, 'Angela': 5, 'Kevin': 2, 'Ryan': 10, 'Man': 1, 'Roy': 5}","{'Michael': 1922, 'Jim': 382, 'Pam': 301, 'Dwight': 401, 'Jan': 139, 'Michel': 1, 'Phyllis': 7, 'Stanley': 33, 'Oscar': 115, 'Angela': 97, 'Kevin': 27, 'Ryan': 62, 'Man': 5, 'Roy': 32}"
The Office,1,02,"{'Michael': 90, 'Jim': 33, 'Dwight': 40, 'Pam': 26, 'Oscar': 3, 'Kevin': 7, 'Toby': 2, 'Stanley': 5, 'Ryan': 7, 'Angela': 4, 'Kelly': 1}","{'Michael': 2147, 'Jim': 370, 'Dwight': 360, 'Pam': 156, 'Oscar': 6, 'Kevin': 67, 'Toby': 16, 'Stanley': 23, 'Ryan': 85, 'Angela': 4, 'Kelly': 6}"
The Office,1,03,"{'Michael': 69, 'Pam': 44, 'Jan': 18, 'Jim': 57, 'Dwight': 88, 'Stanley': 6, 'Oscar': 16, 'Kevin': 6, 'Angela': 5, 'Meredith': 3, 'Ryan': 1}","{'Michael': 1531, 'Pam': 270, 'Jan': 142, 'Jim': 495, 'Dwight': 1092, 'Stanley': 43, 'Oscar': 86, 'Kevin': 34, 'Angela': 26, 'Meredith': 35, 'Ryan': 11}"
The Office,1,04,"{'Dwight': 74, 'Michael': 111, 'Stanley': 2, 'Pam': 37, 'Phyllis': 5, 'Angela': 9, 'Jim': 63, 'Kevin': 3, 'Toby': 7, 'Oscar': 20, 'Ryan': 5, 'Everybody': 6, 'Meredith': 15, 'Roy': 3}","{'Dwight': 714, 'Michael': 2122, 'Stanley': 9, 'Pam': 286, 'Phyllis': 41, 'Angela': 50, 'Jim': 743, 'Kevin': 6, 'Toby': 34, 'Oscar': 126, 'Ryan': 13, 'Everybody': 22, 'Meredith': 114, 'Roy': 28}"
The Office,1,05,"{'Michael': 132, 'Dwight': 44, 'Jim': 27, 'Phyllis': 4, 'Pam': 17, 'Ryan': 8, 'Lonny': 5, 'Darryl': 17, 'Everybody': 2, 'Stanley': 6, 'Oscar': 2, 'Kevin': 4, 'Angela': 6, 'Roy': 13, 'Teammates': 1, 'Madge': 3, 'Worker': 5, 'Packer': 1}","{'Michael': 2143, 'Dwight': 300, 'Jim': 243, 'Phyllis': 27, 'Pam': 183, 'Ryan': 34, 'Lonny': 37, 'Darryl': 110, 'Everybody': 2, 'Stanley': 22, 'Oscar': 16, 'Kevin': 21, 'Angela': 40, 'Roy': 73, 'Teammates': 1, 'Madge': 13, 'Worker': 26, 'Packer': 2}"
The Office,1,06,"{'Jan': 8, 'Michael': 128, 'Dwight': 44, 'Pam': 49, 'Katy': 73, 'Kevin': 7, 'Ryan': 21, 'Oscar': 1, 'Toby': 14, 'Roy': 14, 'Jim': 66, 'Stanley': 3, 'Angela': 3, 'Kelly': 2}","{'Jan': 71, 'Michael': 1855, 'Dwight': 519, 'Pam': 224, 'Katy': 380, 'Kevin': 38, 'Ryan': 110, 'Oscar': 4, 'Toby': 41, 'Roy': 90, 'Jim': 607, 'Stanley': 22, 'Angela': 18, 'Kelly': 10}"
The Office,2,01,"{'Michael': 138, 'Jim': 42, 'Pam': 48, 'Dwight': 74, 'Stanley': 8, 'Oscar': 4, 'Kelly': 9, 'Phyllis': 23, 'Jan': 9, 'Roy': 7, 'Kevin': 4, 'Darryl': 1, 'Ryan': 2, 'Angela': 4, 'Everybody': 1, 'Employee': 1, 'Toby': 6, 'Waitress': 3, 'Manager': 10}","{'Michael': 2079, 'Jim': 305, 'Pam': 365, 'Dwight': 703, 'Stanley': 86, 'Oscar': 71, 'Kelly': 72, 'Phyllis': 114, 'Jan': 103, 'Roy': 43, 'Kevin': 37, 'Darryl': 6, 'Ryan': 27, 'Angela': 53, 'Everybody': 2, 'Employee': 16, 'Toby': 62, 'Waitress': 14, 'Manager': 54}"
The Office,2,02,"{'Michael': 111, 'Jim': 22, 'Dwight': 12, 'Ryan': 1, 'Pam': 41, 'Toby': 26, 'Darryl': 5, 'Roy': 10, 'Kevin': 9, 'Angela': 4, 'Stanley': 1, 'Meredith': 1, 'Phyllis': 6, 'Video': 1, 'Jan': 11, 'Albiny': 2, 'Oscar': 1}","{'Michael': 1759, 'Jim': 210, 'Dwight': 109, 'Ryan': 6, 'Pam': 309, 'Toby': 252, 'Darryl': 64, 'Roy': 63, 'Kevin': 37, 'Angela': 33, 'Stanley': 17, 'Meredith': 5, 'Phyllis': 37, 'Video': 0, 'Jan': 95, 'Albiny': 24, 'Oscar': 3}"
The Office,2,03,"{'Michael': 120, 'Ryan': 5, 'Dwight': 87, 'Jim': 72, 'Pam': 45, 'Kevin': 13, 'Oscar': 13, 'Angela': 8, 'Carol': 18, 'Bill': 2, 'Stanley': 3, 'Phyllis': 4, 'Meredith': 1, 'Everyone': 1, 'Crowd': 1, 'Man': 6, 'Toby': 4}","{'Michael': 1536, 'Ryan': 90, 'Dwight': 801, 'Jim': 579, 'Pam': 266, 'Kevin': 47, 'Oscar': 92, 'Angela': 73, 'Carol': 116, 'Bill': 17, 'Stanley': 27, 'Phyllis': 14, 'Meredith': 1, 'Everyone': 1, 'Crowd': 3, 'Man': 21, 'Toby': 41}"
The Office,2,04,"{'Pam': 28, 'Jim': 64, 'Michael': 70, 'Ryan': 49, 'Dwight': 70, 'Oscar': 4, 'Angela': 18, 'Phyllis': 6, 'Kelly': 4, 'Stanley': 7, 'Meredith': 4, 'Kevin': 9, 'song': 1, 'Song': 6, 'Roy': 6, 'Katy': 11, 'Toby': 2}","{'Pam': 229, 'Jim': 576, 'Michael': 1079, 'Ryan': 291, 'Dwight': 738, 'Oscar': 17, 'Angela': 91, 'Phyllis': 21, 'Kelly': 13, 'Stanley': 59, 'Meredith': 28, 'Kevin': 58, 'song': 8, 'Song': 10, 'Roy': 58, 'Katy': 49, 'Toby': 36}"
The Office,2,05,"{'Michael': 150, 'Pam': 27, 'Sherri': 11, 'Dwight': 36, 'Jim': 31, 'Phyllis': 5, 'Oscar': 7, 'Angela': 14, 'Kevin': 2, 'Kelly': 3, 'Stanley': 5, 'Ryan': 1, 'Creed': 27, 'Devon': 8, 'Children': 1, 'Kid': 3, 'Toby': 7, 'Jan': 10}","{'Michael': 1855, 'Pam': 196, 'Sherri': 58, 'Dwight': 489, 'Jim': 419, 'Phyllis': 10, 'Oscar': 14, 'Angela': 76, 'Kevin': 3, 'Kelly': 30, 'Stanley': 27, 'Ryan': 11, 'Creed': 237, 'Devon': 82, 'Children': 3, 'Kid': 10, 'Toby': 58, 'Jan': 69}"
The Office,2,06,"{'Dwight': 68, 'Jim': 49, 'Stanley': 9, 'Pam': 27, 'Michael': 94, 'Ryan': 18, 'Kevin': 4, 'Toby': 3, 'Angela': 6, 'Kelly': 4, 'Ira': 9, 'Master': 9, 'Oscar': 2, 'Meredith': 1, 'Alyssa': 1}","{'Dwight': 601, 'Jim': 414, 'Stanley': 53, 'Pam': 267, 'Michael': 1274, 'Ryan': 62, 'Kevin': 10, 'Toby': 21, 'Angela': 38, 'Kelly': 15, 'Ira': 59, 'Master': 60, 'Oscar': 16, 'Meredith': 8, 'Alyssa': 4}"
The Office,2,07,"{'Ryan': 8, 'Jim': 52, 'Pam': 40, 'Jan': 55, 'Michael': 85, 'Oscar': 5, 'Toby': 1, 'Kelly': 1, 'Dwight': 23, 'Christian': 19, 'Hostess': 1, 'Everyone': 1, 'Phyllis': 5, 'Roy': 1, 'Kevin': 2, 'Stanley': 1, 'Angela': 1}","{'Ryan': 49, 'Jim': 611, 'Pam': 321, 'Jan': 377, 'Michael': 1223, 'Oscar': 52, 'Toby': 3, 'Kelly': 8, 'Dwight': 218, 'Christian': 167, 'Hostess': 3, 'Everyone': 2, 'Phyllis': 27, 'Roy': 3, 'Kevin': 11, 'Stanley': 11, 'Angela': 11}"
The Office,2,08,"{'Dwight': 50, 'Jim': 48, 'Michael': 123, 'Pam': 35, 'Stanley': 5, 'Angela': 2, 'Jan': 60, 'Kevin': 4, 'Oscar': 5, 'Ryan': 14, 'Kelly': 1}","{'Dwight': 595, 'Jim': 361, 'Michael': 1513, 'Pam': 259, 'Stanley': 51, 'Angela': 50, 'Jan': 611, 'Kevin': 19, 'Oscar': 74, 'Ryan': 93, 'Kelly': 9}"
The Office,2,09,"{'Michael': 126, 'Jim': 51, 'Kevin': 12, 'Dwight': 37, 'Oscar': 6, 'Stanley': 4, 'Angela': 14, 'Pam': 47, 'Mark': 2, 'Ryan': 6, 'Mary-Beth': 17, 'Actor': 1, 'Actress': 1, 'Bill': 6, 'Kelly': 2, 'Phyllis': 7, 'Toby': 1, 'Roy': 7}","{'Michael': 1669, 'Jim': 555, 'Kevin': 102, 'Dwight': 363, 'Oscar': 48, 'Stanley': 25, 'Angela': 54, 'Pam': 322, 'Mark': 10, 'Ryan': 30, 'Mary-Beth': 125, 'Actor': 6, 'Actress': 1, 'Bill': 74, 'Kelly': 22, 'Phyllis': 71, 'Toby': 17, 'Roy': 76}"
The Office,2,10,"{'Dwight': 51, 'Michael': 94, 'Kevin': 14, 'Jim': 27, 'Angela': 10, 'Phyllis': 8, 'Ryan': 18, 'Pam': 22, 'Darryl': 12, 'Toby': 7, 'Oscar': 20, 'Stanley': 5, 'All': 1, 'Kelly': 13, 'Creed': 9, 'Meredith': 12, 'JIm': 1, 'Roy': 8}","{'Dwight': 496, 'Michael': 1383, 'Kevin': 150, 'Jim': 371, 'Angela': 61, 'Phyllis': 60, 'Ryan': 140, 'Pam': 188, 'Darryl': 61, 'Toby': 65, 'Oscar': 169, 'Stanley': 31, 'All': 3, 'Kelly': 97, 'Creed': 41, 'Meredith': 63, 'JIm': 1, 'Roy': 77}"
